"","Air Force","Akron","Alabama","Alabama-Birmingham","Appalachian State","Arizona","Arizona State","Arkansas","Arkansas State","Army","Auburn","Ball State","Baylor","Boise State","Boston College","Bowling Green State","Brigham Young","Buffalo","California","Central Florida","Central Michigan","Charlotte","Cincinnati","Clemson","Coastal Carolina","Colorado","Colorado State","Connecticut","Duke","East Carolina","Eastern Michigan","Florida","Florida Atlantic","Florida International","Florida State","Fresno State","Georgia","Georgia Southern","Georgia State","Georgia Tech","Hawaii","Houston","Illinois","Indiana","Iowa","Iowa State","Kansas","Kansas State","Kent State","Kentucky","Louisiana State","Louisiana Tech","Louisiana-Lafayette","Louisiana-Monroe","Louisville","Marshall","Maryland","Massachusetts","Memphis","Miami (FL)","Miami (OH)","Michigan","Michigan State","Middle Tennessee State","Minnesota","Mississippi","Mississippi State","Missouri","Navy","Nebraska","Nevada","Nevada-Las Vegas","New Mexico","New Mexico State","North Carolina","North Carolina State","North Texas","Northern Illinois","Northwestern","Notre Dame","Ohio","Ohio State","Oklahoma","Oklahoma State","Old Dominion","Oregon","Oregon State","Penn State","Pittsburgh","Purdue","Rice","Rutgers","San Diego State","San Jose State","South Alabama","South Carolina","South Florida","Southern California","Southern Methodist","Southern Mississippi","Stanford","Syracuse","Temple","Tennessee","Texas","Texas A&M","Texas Christian","Texas State","Texas Tech","Texas-El Paso","Texas-San Antonio","Toledo","Troy","Tulane","Tulsa","UCLA","Utah","Utah State","Vanderbilt","Virginia","Virginia Tech","Wake Forest","Washington","Washington State","West Virginia","Western Kentucky","Western Michigan","Wisconsin","Wyoming"
"2",7,7,10,7,8,7,6,6,7,10,9,4,6,11,8,4,6,11,7,11,2,4,2,11,2,2,4,5,6,2,4,9,7,5,8,9,12,9,3,7,4,8,5,4,7,6,6,7,1,8,7,8,3,7,7,7,1,6,11,12,7,10,10,8,6,6,7,8,4,5,7,7,3,6,4,4,10,6,7,10,8,9,12,10,7,9,1,9,5,6,2,3,7,1,6,5,7,12,3,4,8,5,6,6,8,7,6,5,4,2,4,7,8,6,7,5,7,10,1,4,7,8,12,5,7,3,10,10,6
"3",6,4,10,9,8,6,2,7,9,9,9,7,7,9,9,1,4,11,6,11,4,5,7,12,2,6,3,2,3,1,6,11,8,7,7,10,10,5,3,5,3,7,8,5,4,7,2,7,2,6,6,8,1,9,5,8,3,8,10,12,7,11,9,6,6,7,9,7,3,6,10,6,3,6,5,5,7,6,7,6,5,12,11,4,6,11,2,9,5,3,1,5,9,2,6,5,5,11,7,4,9,6,7,6,11,6,5,5,7,2,4,5,8,4,7,5,6,9,3,5,9,9,11,6,9,4,10,10,9
"4",4,5,10,7,7,7,5,5,9,9,8,4,7,10,6,2,6,9,6,12,3,1,1,11,5,2,2,2,5,4,6,9,9,3,9,8,10,8,3,5,3,5,4,7,5,8,4,6,5,7,7,8,6,7,7,9,3,9,9,10,5,10,10,8,6,6,7,9,4,6,9,6,3,6,6,5,9,6,7,8,8,11,10,8,8,10,1,9,7,6,5,2,9,3,6,2,9,11,8,5,7,4,7,7,11,9,3,3,6,1,3,5,5,7,6,6,7,9,3,6,9,9,12,7,6,6,8,8,8
"5",6,5,10,10,11,5,3,6,9,9,9,2,9,12,7,4,3,5,9,11,5,2,3,12,3,4,2,4,8,3,7,9,3,5,7,9,11,8,4,5,2,7,3,3,4,5,4,8,4,8,6,6,1,6,7,10,5,8,8,12,4,10,10,9,7,7,8,7,9,5,6,6,3,7,6,6,10,9,8,8,9,11,12,6,6,10,2,9,6,2,5,4,10,3,6,5,9,12,5,4,5,4,5,7,8,6,4,2,4,0,2,8,8,6,6,7,5,10,1,3,6,8,12,7,10,8,8,11,6
"6",7,5,9,6,8,6,7,5,11,9,10,2,6,10,9,1,6,9,9,12,5,3,4,12,3,2,4,5,7,2,4,9,10,6,8,7,9,5,3,5,1,9,3,5,4,4,2,6,6,8,6,7,5,7,7,4,5,7,11,12,8,11,10,9,6,6,9,6,4,7,7,7,3,4,6,8,10,8,6,9,6,12,12,10,7,10,3,8,4,5,5,3,7,4,8,6,5,10,7,8,6,4,7,5,11,6,5,3,7,1,2,8,8,4,4,5,5,8,2,3,7,5,12,4,8,3,9,11,9
"7",3,3,11,10,9,9,3,7,9,8,10,5,8,10,10,1,4,9,5,11,5,7,2,11,1,4,6,4,5,4,8,11,8,4,9,9,7,9,4,3,2,9,5,5,5,3,1,8,4,5,5,8,3,6,8,10,7,6,10,12,7,11,10,6,3,6,10,9,4,7,8,6,2,7,8,4,7,7,8,6,6,10,12,10,7,9,2,8,4,3,3,3,10,2,5,5,7,10,7,6,6,3,5,6,8,7,4,6,7,2,2,9,8,3,5,7,5,9,2,4,8,9,12,6,6,5,8,11,9
"8",6,5,11,7,9,7,3,7,8,8,9,3,6,10,7,1,5,10,7,11,5,4,4,12,4,5,4,2,5,2,3,10,6,2,7,5,12,7,4,5,3,10,6,5,6,6,2,5,4,5,5,8,6,8,6,11,4,8,8,12,5,12,10,9,7,6,9,7,3,6,9,5,3,8,7,6,11,6,8,9,6,10,11,8,4,7,1,9,4,2,3,3,8,4,4,6,4,10,8,5,7,5,9,5,10,7,5,3,8,1,4,8,7,4,5,6,7,10,1,4,8,9,12,7,8,7,9,11,9
"9",3,4,12,9,8,7,4,7,10,6,9,2,8,11,5,2,5,12,8,9,3,2,4,10,3,3,7,2,6,4,6,10,5,4,10,8,11,5,2,6,1,9,7,4,3,3,6,7,4,5,5,6,3,5,5,11,4,8,11,12,5,11,9,8,6,4,10,6,6,8,6,5,5,8,5,7,9,7,5,9,6,11,11,6,6,10,2,11,7,7,4,2,9,4,7,5,8,9,7,7,5,2,5,6,11,8,3,5,6,1,4,8,7,5,6,5,7,9,3,5,7,10,12,5,9,6,8,10,7
"10",5,3,11,7,8,6,6,4,9,7,12,6,4,9,7,1,6,11,6,11,4,2,3,11,3,6,4,1,5,4,6,9,9,2,11,9,9,5,4,4,2,5,4,6,4,6,3,8,3,7,6,8,3,9,7,10,4,8,10,12,7,11,9,6,6,5,7,7,6,5,6,5,4,5,8,3,11,4,7,7,7,11,11,10,7,11,2,10,6,5,4,5,7,3,4,6,7,11,7,4,5,4,8,5,11,8,6,4,5,1,4,8,11,6,6,5,7,9,3,4,7,9,11,5,7,7,8,9,10
"11",5,6,12,9,10,8,4,7,9,6,10,4,7,11,10,3,5,7,8,12,4,2,4,12,1,8,4,1,7,3,5,12,6,4,7,8,9,6,3,7,4,6,10,4,4,5,4,7,3,8,5,8,3,7,7,12,5,9,11,10,9,11,7,7,4,5,9,5,7,6,5,5,3,9,4,5,10,4,8,9,10,11,12,7,6,9,2,9,3,4,4,2,8,4,6,6,8,12,7,6,3,3,4,4,9,6,3,4,8,1,2,9,6,4,5,3,5,8,2,4,8,7,12,7,8,5,9,11,9
